ppv	cso_one	cso_two	sens	spec	tp_at_zero	fp_at_zero	tp_at_one	ghost_at_one	fp_at_one	tp_after_one	tp_after_one_with_correct_cso	tp_after_one_with_incorrect_cso	tp_at_two	fp_at_two	ghost_at_two	tp_after_two	fp_after_two	residual_risk_one	cso_likely_elsewhere	total_ghosts_one	residual_risk_two	total_ghosts_two
0.3	0.6	0.4	1	1	0.3	0.7	0.18	0	0.7	0.12	0	0.12	0.048	0.7	0	0.072	0.7	0.14634146341463414	1	0	0.09326424870466321	0
0.3	0.6	0.4	0.9	0.9	0.3	0.7	0.162	0.06999999999999998	0.7	0.13799999999999998	0.017999999999999995	0.12	0.0432	0.7	0.06999999999999998	0.09479999999999998	0.7	0.1646778042959427	0.8695652173913044	0.06999999999999998	0.11927528938097633	0.13999999999999996
0.3	0.6	0.4	0.7	0.9	0.3	0.7	0.126	0.06999999999999998	0.7	0.174	0.054000000000000006	0.11999999999999998	0.03359999999999999	0.7	0.06999999999999998	0.1404	0.7	0.1990846681922197	0.689655172413793	0.06999999999999998	0.16706330318895765	0.13999999999999996
0.3	0.6	0.5	1	1	0.3	0.7	0.18	0	0.7	0.12	0	0.12	0.06	0.7	0	0.06	0.7	0.14634146341463414	1	0	0.07894736842105263	0
0.3	0.6	0.5	0.9	0.9	0.3	0.7	0.162	0.06999999999999998	0.7	0.13799999999999998	0.017999999999999995	0.12	0.054	0.7	0.06999999999999998	0.08399999999999999	0.7	0.1646778042959427	0.8695652173913044	0.06999999999999998	0.10714285714285714	0.13999999999999996
0.3	0.6	0.5	0.7	0.9	0.3	0.7	0.126	0.06999999999999998	0.7	0.174	0.054000000000000006	0.11999999999999998	0.04199999999999999	0.7	0.06999999999999998	0.132	0.7	0.1990846681922197	0.689655172413793	0.06999999999999998	0.15865384615384617	0.13999999999999996
0.3	0.6	0.6	1	1	0.3	0.7	0.18	0	0.7	0.12	0	0.12	0.072	0.7	0	0.048	0.7	0.14634146341463414	1	0	0.06417112299465241	0
0.3	0.6	0.6	0.9	0.9	0.3	0.7	0.162	0.06999999999999998	0.7	0.13799999999999998	0.017999999999999995	0.12	0.0648	0.7	0.06999999999999998	0.07319999999999999	0.7	0.1646778042959427	0.8695652173913044	0.06999999999999998	0.09467149508535955	0.13999999999999996
0.3	0.6	0.6	0.7	0.9	0.3	0.7	0.126	0.06999999999999998	0.7	0.174	0.054000000000000006	0.11999999999999998	0.050399999999999986	0.7	0.06999999999999998	0.1236	0.7	0.1990846681922197	0.689655172413793	0.06999999999999998	0.15007285089849443	0.13999999999999996
0.3	0.7	0.4	1	1	0.3	0.7	0.21	0	0.7	0.09	0	0.09	0.036	0.7	0	0.054	0.7	0.1139240506329114	1	0	0.07161803713527852	0
0.3	0.7	0.4	0.9	0.9	0.3	0.7	0.189	0.06999999999999998	0.7	0.11099999999999999	0.020999999999999994	0.09	0.0324	0.7	0.06999999999999998	0.07859999999999999	0.7	0.13686806411837238	0.8108108108108109	0.06999999999999998	0.10095042383765733	0.13999999999999996
0.3	0.7	0.4	0.7	0.9	0.3	0.7	0.147	0.06999999999999998	0.7	0.153	0.063	0.09	0.025199999999999997	0.7	0.06999999999999998	0.1278	0.7	0.17936694021101993	0.5882352941176471	0.06999999999999998	0.15438511717806233	0.13999999999999996
0.3	0.7	0.5	1	1	0.3	0.7	0.21	0	0.7	0.09	0	0.09	0.045	0.7	0	0.045	0.7	0.1139240506329114	1	0	0.060402684563758385	0
